country_std,indicator_name,sex,age_group,age_categories,Year,Unemployment,GDP
Bangladesh,Unemployment rate by sex and age,Female,25+,Adults,2020,5.06,373902.0
Bangladesh,Unemployment rate by sex and age,Female,Under 15,Children,2020,7.732,373902.0
Bangladesh,Unemployment rate by sex and age,Male,15-24,Youth,2020,12.14,373902.0
Bangladesh,Unemployment rate by sex and age,Male,25+,Adults,2020,2.38,373902.0
Bangladesh,Unemployment rate by sex and age,Male,Under 15,Children,2020,4.177,373902.0
Barbados,Unemployment rate by sex and age,Female,15-24,Youth,2020,24.128,5168.0
Barbados,Unemployment rate by sex and age,Female,25+,Adults,2020,6.446,5168.0
Barbados,Unemployment rate by sex and age,Female,Under 15,Children,2020,8.269,5168.0
Barbados,Unemployment rate by sex and age,Male,15-24,Youth,2020,34.198,5168.0
Barbados,Unemployment rate by sex and age,Male,25+,Adults,2020,8.128,5168.0
Barbados,Unemployment rate by sex and age,Male,Under 15,Children,2020,11.208,5168.0
Belarus,Unemployment rate by sex and age,Female,15-24,Youth,2020,10.155,61312.0
Belarus,Unemployment rate by sex and age,Female,25+,Adults,2020,2.751,61312.0
Belarus,Unemployment rate by sex and age,Female,Under 15,Children,2020,3.314,61312.0
Belarus,Unemployment rate by sex and age,Male,15-24,Youth,2020,13.822,61312.0
Belarus,Unemployment rate by sex and age,Male,25+,Adults,2020,3.959,61312.0
Belarus,Unemployment rate by sex and age,Male,Under 15,Children,2020,4.79,61312.0
Belgium,Unemployment rate by sex and age,Female,15-24,Youth,2020,15.121,529269.0
Belgium,Unemployment rate by sex and age,Female,25+,Adults,2020,4.61,529269.0
Belgium,Unemployment rate by sex and age,Female,Under 15,Children,2020,5.353,529269.0
Belgium,Unemployment rate by sex and age,Male,15-24,Youth,2020,15.506,529269.0
Belgium,Unemployment rate by sex and age,Male,25+,Adults,2020,4.948,529269.0
Belgium,Unemployment rate by sex and age,Male,Under 15,Children,2020,5.723,529269.0
Belize,Unemployment rate by sex and age,Female,15-24,Youth,2020,33.664,2043.0
Belize,Unemployment rate by sex and age,Female,25+,Adults,2020,11.28,2043.0
Belize,Unemployment rate by sex and age,Female,Under 15,Children,2020,16.036,2043.0
Belize,Unemployment rate by sex and age,Male,15-24,Youth,2020,15.305,2043.0
